geo,country_name,time,sex,age,indicator_code,indicator_label,value,unit,data_suppressed,source_dataset
DE,Germany,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,75.5,PC,False,hlth_ehis_pe3
DK,Denmark,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,82.8,PC,False,hlth_ehis_pe3
DK,Denmark,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,87.8,PC,False,hlth_ehis_pe3
EE,Estonia,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,61.2,PC,False,hlth_ehis_pe3
EE,Estonia,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,75.1,PC,False,hlth_ehis_pe3
EL,Greece,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,35.2,PC,False,hlth_ehis_pe3
EL,Greece,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,47.4,PC,False,hlth_ehis_pe3
ES,Spain,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,54.8,PC,False,hlth_ehis_pe3
ES,Spain,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,53.4,PC,False,hlth_ehis_pe3
EU27_2020,European Union - 27 countries (from 2020),2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,62.2,PC,False,hlth_ehis_pe3
EU27_2020,European Union - 27 countries (from 2020),2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,55.1,PC,False,hlth_ehis_pe3
EU28,European Union - 28 countries (2013-2020),2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,62.5,PC,False,hlth_ehis_pe3
FI,Finland,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,79.8,PC,False,hlth_ehis_pe3
FR,France,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,74.1,PC,False,hlth_ehis_pe3
FR,France,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,50.3,PC,False,hlth_ehis_pe3
HR,Croatia,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,30.8,PC,False,hlth_ehis_pe3
HR,Croatia,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,47.2,PC,False,hlth_ehis_pe3
HU,Hungary,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,67.2,PC,False,hlth_ehis_pe3
HU,Hungary,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,57.5,PC,False,hlth_ehis_pe3
IE,Ireland,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,65.0,PC,False,hlth_ehis_pe3
IE,Ireland,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,50.0,PC,False,hlth_ehis_pe3
